release_date,count_0,count_1,count_2
2009,0,0,1205
2009,337,0,0
2009,0,434,0
2013,0,0,4911
2013,0,1391,0
2013,1284,0,0
2015,0,0,4193
2014,0,0,4051
2014,1238,0,0
2014,0,1159,0
2011,0,0,2278
2011,0,692,0
2016,0,0,1959
2016,0,486,0
2016,553,0,0
2011,484,0,0
2012,0,0,5708
2012,1457,0,0
2012,0,1890,0
2004,0,0,355
2004,0,128,0
2004,67,0,0
2007,0,1016,0
2007,0,0,2753
2007,406,0,0
2015,0,1257,0
2015,1285,0,0
2017,0,409,0
2017,0,0,1324
2017,371,0,0
2006,0,459,0
2006,0,0,1361
2006,244,0,0
2010,0,0,1340
2010,0,349,0
2010,321,0,0
2002,0,4,0
2002,0,0,33
1995,5,0,0
1995,0,0,11
2003,50,0,0
2003,0,0,118
2003,0,49,0
2005,0,61,0
2005,0,0,196
1998,0,0,64
1998,16,0,0
1998,0,16,0
2005,37,0,0
2008,0,0,315
2008,62,0,0
2008,0,83,0
1990,1,0,0
1990,0,0,4
1992,1,0,0
1993,0,0,4
1999,14,0,0
1999,0,20,0
1999,0,0,42
2000,0,0,60
2000,0,30,0
2000,9,0,0
2001,0,0,22
2001,12,0,0
2001,0,1,0
2002,8,0,0
1993,1,0,0
1997,0,0,33
1997,0,7,0
1997,8,0,0
1996,0,3,0
1996,0,0,5
1994,0,0,10
1994,3,0,0
1994,0,2,0
1992,0,0,2
1989,0,0,1
1991,0,0,1
